Ocean,Species,Stock,Year,Variable,Value,Model,Run,RFMO
Atlantic,ALB,North Atlantic,2000,Bratio,0.983295334,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2001,Bratio,0.991804451,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2002,Bratio,1.015661552,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2003,Bratio,1.045489616,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2004,Bratio,1.071296266,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2005,Bratio,1.093957201,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2006,Bratio,1.096588797,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2007,Bratio,1.09500293,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2008,Bratio,1.129441597,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2009,Bratio,1.166349716,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2010,Bratio,1.215299142,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2011,Bratio,1.257255063,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2012,Bratio,1.295051872,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2013,Bratio,1.318966633,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2014,Bratio,1.344207277,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2015,Bratio,1.36491311,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1930,Fratio,0.112378541,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1931,Fratio,0.156741421,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1932,Fratio,0.131365449,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1933,Fratio,0.118276697,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1934,Fratio,0.195899516,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1935,Fratio,0.218477317,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1936,Fratio,0.179268277,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1937,Fratio,0.145522214,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1938,Fratio,0.158310011,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1939,Fratio,0.186617263,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1940,Fratio,0.126553834,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1941,Fratio,0.145618503,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1942,Fratio,0.186031155,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1943,Fratio,0.187349815,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1944,Fratio,0.190835701,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1945,Fratio,0.311773337,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1946,Fratio,0.267676656,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1947,Fratio,0.235816653,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1948,Fratio,0.281999834,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1949,Fratio,0.329981813,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1950,Fratio,0.475313221,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1951,Fratio,0.420695639,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1952,Fratio,0.406880183,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1953,Fratio,0.384198257,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1954,Fratio,0.516388133,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1955,Fratio,0.415295056,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1956,Fratio,0.546970051,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1957,Fratio,0.576485954,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1958,Fratio,0.734696877,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1959,Fratio,0.72527564,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1960,Fratio,0.793109643,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1961,Fratio,0.663415826,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1962,Fratio,0.930843873,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1963,Fratio,0.995783503,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1964,Fratio,1.113594029,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1965,Fratio,1.097944624,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1966,Fratio,0.897705657,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1967,Fratio,1.146482517,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1968,Fratio,0.91435498,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1969,Fratio,0.962538839,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1970,Fratio,0.965439883,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1971,Fratio,1.218753451,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1972,Fratio,1.088676353,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1973,Fratio,1.045710104,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1974,Fratio,1.157056125,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1975,Fratio,1.003818516,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1976,Fratio,1.387728775,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1977,Fratio,1.369331094,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1978,Fratio,1.320473985,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1979,Fratio,1.396604713,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1980,Fratio,1.090992903,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1981,Fratio,0.976234938,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1982,Fratio,1.199616038,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1983,Fratio,1.468716517,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1984,Fratio,1.237441915,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1985,Fratio,1.224419712,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1986,Fratio,1.442493345,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1987,Fratio,1.190229637,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1988,Fratio,1.037580606,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1989,Fratio,0.998412375,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1990,Fratio,1.13532241,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1991,Fratio,0.860544709,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1992,Fratio,0.925622705,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1993,Fratio,1.12748435,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1994,Fratio,1.044317936,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1995,Fratio,1.137263183,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1996,Fratio,0.858194883,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1997,Fratio,0.849948941,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1998,Fratio,0.740337502,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,1999,Fratio,0.968833664,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2000,Fratio,0.924692435,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2001,Fratio,0.728327121,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2002,Fratio,0.614885133,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2003,Fratio,0.669921411,BDM,Run1,ICCAT
Atlantic,ALB,North Atlantic,2004,Fratio,0.663082226,BDM,Run1,ICCAT
