Ocean,Group,Species,LatinName,CommonName,RFMO,SpStock,Evaluation,Recent catch,5yearcatch,max catch,MSY,FinalWeights,Source,WeightBy,Status_F,Status_B,Bratio,Fratio,Last_assessment_year,Fstatus,FisheryStatus
Indian,Billfishes,SAI,Istiophorus platypterus,Sailfish,IOTC,SAI Indian,Assessed,,,,23900,23900,IOTC assessment,MSY,"undetermined,uncertain","undetermined,uncertain",1.14,1.22,2017,Overfishing,Undetermined
Pacific,Tunas,YFT,Thunnus albacares,Yellowfin tuna,IATTC,YFT Eastern Pacific,Assessed,,,,254974,254974,IATTC assessment,MSY,Yes,Yes,0.9329,1.26737,2018,Overfishing,Overfished
Pacific,Billfishes,MLS,Kajikia audax,Striped marlin,WCFPC-IATTC,MLS Western and Central North Pacific,Assessed,,,,4946,4946,ISC assessment,MSY,Overfishing,Overfished,0.376728111,1.333333333,2017,Overfishing,Overfished
Atlantic,Billfishes,SAI,Istiophorus platypterus,Sailfish,ICCAT,SAI East Atlantic,Assessed,,,,1896,1896,ICCAT assessment,MSY,Possibly,yes,0.46,1.59,2014,Overfishing,Overfished
Atlantic,Tunas,BET,Thunnus obesus,Bigeye tuna,ICCAT,BET Atlantic,Assessed,,,,76232,76232,ICCAT assessment,MSY,yes,yes,0.59,1.63,2017,Overfishing,Overfished
Atlantic,Sharks,POR,Lamna nasus,Porbeagle shark,ICCAT,POR Northeast Atlantic,Assessed,0.287,,,NA,1,ICCAT assessment,Unity,No,Yes,1.01,1.745,2008,Overfishing,Overfished
Indian,Billfishes,MLS,Kajikia audax,Striped marlin,IOTC,MLS Indian,Assessed,,,,3082,3082,IOTC assessment,MSY,Overfishing,Overfished,0.33,1.99,2017,Overfishing,Overfished
Atlantic,Billfishes,SWO,Xiphias gladius,Swordfish,ICCAT,SWO Mediterranean,Assessed,,,,19683,19683,ICCAT assessment,MSY,yes,yes,0.12,2.245,2015,Overfishing,Overfished
Atlantic,Sharks,SMA,Isurus oxyrinchus,Shortfin mako,ICCAT,SMA South Atlantic,Assessed,3158,,3800,3800,3800,ICCAT assessment,MaxCatch,Possibly,Possibly,1.2,2.265,2015,Overfishing,Not overfished
Atlantic,Sharks,SMA,Isurus oxyrinchus,Shortfin mako,ICCAT,SMA North Atlantic,Assessed,2388,,5100,5100,5100,ICCAT assessment,MaxCatch,Yes,Yes,0.76,3.155,2015,Overfishing,Overfished
Pacific,Sharks,OCS,Carcharhinus longimanus,Oceanic whitetip,WCPFC,OCS Western Pacific,Assessed,,,,5790,1,WCPFC assessment,SingleStock,Overfishing,Overfished,0.09,3.92,2016,Overfishing,Overfished
Pacific,Sharks,FAL,Carcharhinus falciformis,Silky shark,WCPFC,FAL Western Pacific,Assessed,,,,1994,1,WCPFC assessment,SingleStock,Overfishing,likey overfished,0.704,4.47,2010,Overfishing,Overfished
Atlantic,Sharks,POR,Lamna nasus,Porbeagle shark,ICCAT,POR Southwest Atlantic,Assessed,0.164,,,NA,1,ICCAT assessment,Unity,"Undetermined (Given the uncertainty in stock status, the Committee cannot make a determination but cautions that overfishing may have occurred in recent years.)",Yes,0.57,5.545,2008,Overfishing,Overfished
Atlantic,Tunas,ALB,Thunnus alalunga,Albacore tuna,ICCAT,ALB Mediterranean,Assessed,,,,3419,3419,ICCAT assessment,MSY,No,No,1.002,NA,2015,Not overfishing,Not overfished
Pacific,Billfishes,SAI,Istiophorus platypterus,Sailfish,IATTC,SAI Eastern Pacific,Assessed,,,5,NA,5,IATTC assessment,MaxCatch,NO,NO,NA,NA,2012,Not overfishing,Not overfished
